"Delta_LL" "Delta_LL.flex"
"1" 66.0182970522657 -4.41290032285298
"2" -216.356996195952 -2.23677905265907
"3" -286.201532153783 -11.039536261127
"4" -336.203979221296 -5.45178276451128
"5" -342.173478027979 -1.2562181153275
"6" -426.527308482297 -7.15698847371897
"7" -465.451409990137 -2.11052617251374
"8" 84.2080277138343 -3.30698469961226
"9" -217.443238852064 -0.508686914181681
"10" -272.861986120997 -6.58294294984478
"11" -360.153431044779 -4.8182801060309
"12" -347.389569746079 -12.0432897929758
"13" -444.688431773209 -2.66469604371275
"14" -486.15914623432 0.707156545868202
"15" 80.1203131000337 -2.42874066547472
"16" -225.091385365663 -18.2218668992736
"17" -307.18285630315 -12.9535631092829
"18" -342.284570736659 -7.9641671251523
"19" -346.994974691457 4.95365862626454
"20" -455.056242727469 -2.55815494010034
"21" -489.391042474938 -6.27006431903243
"22" 70.9030058706835 -1.24873783776809
"23" -205.858988699441 -3.87686975352631
"24" -333.579860770367 -5.47011924262199
"25" -343.186212046373 -13.4887017637264
"26" -351.931927742632 -0.171465157198497
"27" -448.691063087385 -4.48081795072852
"28" -478.504642070374 -2.0525644609566
"29" 78.1805921954245 0.328950327203302
"30" -216.693818788042 -6.69835634319134
"31" -314.514853378771 -13.1858603134434
"32" -348.274585650398 -0.978370941262028
"33" -379.433971155767 -13.8705702417951
"34" -458.363786703005 -11.771918378665
"35" -500.836311384516 -3.54713406685448
"36" 55.0449430612191 4.83354719790157
"37" -244.53357684005 -11.447148610349
"38" -312.437270814697 -5.90183501005913
"39" -357.002474529432 -15.0235583465679
"40" -364.321708797644 -14.916555417695
"41" -446.895138290737 -7.94143914450621
"42" -486.354484397767 -4.91569279268595
"43" 78.52117686611 -1.23835501891517
"44" -225.249240908338 -4.0426107333692
"45" -319.292446990793 -11.4423621351608
"46" -361.61941470449 -6.56103710039599
"47" -374.557456356169 -2.42537345550971
"48" -463.019127512616 -7.9095396415226
"49" -500.168881428731 -8.87065048683843
